id,region,neighbourhood,room_type,price,number_of_reviews,availability_365,price_log,price_log_median,occupancy_proxy,occupancy_ord,reviews_log,popularity_score,potential_revenue_score
27934,Central,Ratchathewi,Entire home/apt,1905,65,353,7.552762084214147,7.460202536033221,0.0328767123287671,1,4.189654742026425,3,22.380607608099663
959254,Central,Khlong Toei,Entire home/apt,1400,0,365,7.244941546337007,7.460202536033221,0.0,1,0.0,1,7.460202536033221
1791481,Central,Khlong Toei,Entire home/apt,1577,78,330,7.363913501405819,7.460202536033221,0.09589041095890416,2,4.3694478524670215,3,44.761215216199325
1793000,Central,Vadhana,Entire home/apt,5034,287,349,8.524168805152662,7.460202536033221,0.043835616438356206,2,5.662960480135946,3,44.761215216199325
965722,Central,Vadhana,Private room,3775,3,364,8.236420527265391,7.313886831633462,0.002739726027397249,1,1.3862943611198906,3,21.941660494900386
1808600,Central,Khlong Toei,Entire home/apt,2078,83,55,7.639642287858013,7.460202536033221,0.8493150684931507,3,4.430816798843313,3,67.14182282429898
118118,Central,Khlong Toei,Entire home/apt,1732,3,364,7.457609289715606,7.460202536033221,0.002739726027397249,1,1.3862943611198906,3,22.380607608099663
1816517,Central,Ratchathewi,Entire home/apt,2000,76,263,7.601402334583733,7.460202536033221,0.2794520547945205,2,4.343805421853684,3,44.761215216199325
969792,Central,Ratchathewi,Entire home/apt,3082,0,365,8.03365842788615,7.460202536033221,0.0,1,0.0,1,7.460202536033221
159854,Central,Vadhana,Entire home/apt,1659,212,207,7.414572881350589,7.460202536033221,0.4328767123287671,2,5.3612921657094255,3,44.761215216199325
978969,Central,Vadhana,Entire home/apt,1870,5,331,7.534228326274089,7.460202536033221,0.0931506849315068,2,1.791759469228055,3,44.761215216199325
169514,Central,Vadhana,Entire home/apt,1732,0,365,7.457609289715606,7.460202536033221,0.0,1,0.0,1,7.460202536033221
1849029,Central,Vadhana,Entire home/apt,1300,7,365,7.170888478512505,7.460202536033221,0.0,1,2.0794415416798357,3,22.380607608099663
1888303,Central,Khlong Toei,Entire home/apt,1490,11,16,7.307202314764738,7.460202536033221,0.9561643835616438,3,2.4849066497880004,3,67.14182282429898
1041976,Central,Parthum Wan,Entire home/apt,2900,295,0,7.972810784121404,7.460202536033221,1.0,3,5.69035945432406,3,67.14182282429898
313459,Central,Khlong Toei,Private room,2226,0,364,7.708410667257367,7.313886831633462,0.002739726027397249,1,0.0,1,7.313886831633462
320014,Central,Khlong Toei,Entire home/apt,1732,67,167,7.457609289715606,7.460202536033221,0.5424657534246575,3,4.219507705176107,3,67.14182282429898
384924,Central,Ratchathewi,Entire home/apt,866,94,142,6.7650389767805414,7.460202536033221,0.6109589041095891,3,4.553876891600541,3,67.14182282429898
390611,Central,Khlong Toei,Entire home/apt,797,189,230,6.682108597449809,7.460202536033221,0.36986301369863017,2,5.247024072160486,3,44.761215216199325
405662,Central,Vadhana,Entire home/apt,1400,32,120,7.244941546337007,7.460202536033221,0.6712328767123288,3,3.4965075614664802,3,67.14182282429898
1088343,Central,Vadhana,Entire home/apt,2355,19,356,7.764720544771477,7.460202536033221,0.024657534246575352,1,2.995732273553991,3,22.380607608099663
407381,Central,Vadhana,Entire home/apt,3740,18,44,8.227108234348146,7.460202536033221,0.8794520547945206,3,2.9444389791664403,3,67.14182282429898
1986193,Central,Vadhana,Entire home/apt,2000,6,62,7.601402334583733,7.460202536033221,0.8301369863013699,3,1.9459101490553132,3,67.14182282429898
1208204,Central,Vadhana,Entire home/apt,1485,206,130,7.303843225277705,7.460202536033221,0.6438356164383562,3,5.332718793265369,3,67.14182282429898
1227663,Central,Parthum Wan,Entire home/apt,3097,120,54,8.038512020976814,7.460202536033221,0.8520547945205479,3,4.795790545596741,3,67.14182282429898
2084034,Central,Vadhana,Entire home/apt,2220,58,346,7.7057128238944275,7.460202536033221,0.05205479452054795,2,4.07753744390572,3,44.761215216199325
736372,Central,Vadhana,Entire home/apt,1974,0,365,7.5883236773352225,7.460202536033221,0.0,1,0.0,1,7.460202536033221
1316688,Central,Khlong Toei,Entire home/apt,1489,81,0,7.306531398939505,7.460202536033221,1.0,3,4.406719247264253,3,67.14182282429898
742693,Central,Khlong Toei,Entire home/apt,1732,0,347,7.457609289715606,7.460202536033221,0.049315068493150704,2,0.0,1,14.920405072066442
768019,Central,Vadhana,Entire home/apt,4156,4,271,8.332548939252638,7.460202536033221,0.2575342465753425,2,1.6094379124341003,3,44.761215216199325
