,id,host_id,neighbourhood,region,room_type,price,minimum_nights,reviews_count_bc,reviews_activity,reviews_month_bc,reviews_engagement
4504,29008517,103289271,Ratchathewi,Central,Private room,1700,1,0.0,Low,0.0,Low
4505,28801994,211585308,Parthum Wan,Central,Private room,350,1,0.0,Low,0.0,Low
4506,28573001,215642190,Ratchathewi,Central,Private room,1599,1,0.0,Low,0.0,Low
4507,28823403,217364264,Vadhana,Central,Private room,1600,7,0.0,Low,0.0,Low
4508,28835225,48919604,Vadhana,Central,Private room,950,2,1.2754012026747383,High,0.11620162751572123,High
4509,29351757,205219446,Vadhana,Central,Private room,990,1,0.5715166463131642,Moderate,0.01902987306674122,Moderate
4510,28884852,48919604,Vadhana,Central,Private room,950,2,1.2465570681404392,High,0.11157480364932897,High
4511,29164306,176740696,Khlong Toei,Central,Private room,2600,1,1.3400630129987101,High,0.14363047042598898,High
4512,29375547,221304783,Vadhana,Central,Private room,659,1,1.57219907790587,High,0.238745029209904,High
4513,29382819,221353195,Vadhana,Central,Private room,1000,1,0.0,Low,0.0,Low
4514,29208957,220055398,Khlong Toei,Central,Private room,649,7,1.4357355561314313,High,0.18731250492262133,High
4515,29396594,221268282,Khlong Toei,Central,Private room,899,2,1.4961667041431632,High,0.21021079282599017,High
4516,29226231,217176833,Khlong Toei,Central,Private room,2100,30,0.0,Low,0.0,Low
4517,29397607,221268282,Khlong Toei,Central,Private room,999,2,1.3213608571005129,High,0.1401839712727138,High
4518,29397885,221268282,Khlong Toei,Central,Private room,999,2,0.9549387565401973,Moderate,0.051907998926011854,Moderate
4519,29401961,221268282,Khlong Toei,Central,Private room,499,2,1.4961667041431632,High,0.20926312625104918,High
4520,29953945,144766230,Khlong Toei,Central,Private room,1259,2,1.504666498601988,High,0.21452878366749056,High
4521,29714296,172263219,Vadhana,Central,Private room,650,1,0.5715166463131642,Moderate,0.01902987306674122,Moderate
4522,29716227,172263219,Parthum Wan,Central,Private room,750,1,1.3400630129987101,High,0.14363047042598898,High
4523,29971488,37190599,Khlong Toei,Central,Private room,1000,1,0.0,Low,0.0,Low
4524,29772307,78836384,Ratchathewi,Central,Private room,1200,1,1.5005212552347935,High,0.21371783014462647,High
4525,30259985,227240004,Ratchathewi,Central,Private room,1599,1,1.4816574461023837,High,0.2062319262244187,High
4526,30260317,227240004,Ratchathewi,Central,Private room,1599,1,0.9549387565401973,Moderate,0.051907998926011854,Moderate
4527,30031535,42594121,Parthum Wan,Central,Private room,5691,1,1.212171009632604,High,0.10169279614963159,High
4528,30032647,42594121,Parthum Wan,Central,Private room,5323,1,1.212171009632604,High,0.10169279614963159,High
4529,30047570,37190599,Khlong Toei,Central,Private room,800,1,0.0,Low,0.0,Low
4530,30311761,227642041,Vadhana,Central,Private room,2500,1,1.0491876454521514,High,0.06612860994564192,Moderate
4531,30326060,1161904,Ratchathewi,Central,Private room,550,1,1.1702595432342837,High,0.09641479086722313,High
4532,29884999,31379199,Vadhana,Central,Private room,1000,1,0.0,Low,0.0,Low
4533,30098943,23762911,Ratchathewi,Central,Private room,1383,1,0.0,Low,0.0,Low
4534,30138591,226456811,Vadhana,Central,Private room,1170,3,0.5715166463131642,Moderate,0.01902987306674122,Moderate
4535,30597635,226784821,Ratchathewi,Central,Private room,1525,1,0.0,Low,0.0,Low
4536,30779209,226784821,Ratchathewi,Central,Private room,1770,1,0.5715166463131642,Moderate,0.01902987306674122,Moderate
