,region,neighbourhood,longitude,latitude,room_type,price,number_of_reviews,booking_activity,log_reviews
8165,Southwest,Bangkok Yai,100.48547,13.7376,Private room,850,2,365,1.0986122886681098
8166,Southwest,Khlong San,100.49329,13.72038,Hotel room,2893,0,242,0.0
8169,Southwest,Sathon,100.53211,13.71663,Private room,560,8,219,2.1972245773362196
8175,Southwest,Bang Rak,100.52988,13.72381,Entire home/apt,1250,1,88,0.6931471805599453
8184,Southwest,Khlong San,100.49819,13.71958,Entire home/apt,1000,6,235,1.9459101490553132
8185,Southwest,Khlong San,100.49618,13.72034,Entire home/apt,1000,7,214,2.0794415416798357
8186,Southwest,Sathon,100.52571,13.70828,Entire home/apt,1500,2,112,1.0986122886681098
8200,Southwest,Sathon,100.53003,13.71638,Shared room,880,1,1,0.6931471805599453
8201,Southwest,Sathon,100.52937,13.71602,Shared room,893,6,3,1.9459101490553132
8202,Southwest,Sathon,100.52918,13.71733,Shared room,672,0,6,0.0
8203,Southwest,Sathon,100.5295,13.71618,Shared room,1863,1,1,0.6931471805599453
8207,Southwest,Bang Rak,100.5241,13.72327,Shared room,310,0,184,0.0
8209,Southwest,Sathon,100.51835,13.70975,Entire home/apt,1897,29,235,3.4011973816621555
8214,Southwest,Thon buri,100.47085,13.71109,Private room,520,62,216,4.143134726391533
8223,Southwest,Thon buri,100.47084,13.71062,Private room,456,76,228,4.343805421853684
8224,Southwest,Thon buri,100.47286,13.71246,Private room,488,106,232,4.672828834461906
8225,Southwest,Thon buri,100.4728,13.71091,Private room,455,59,247,4.0943445622221
8226,Southwest,Bang Khun thain,100.44636,13.65154,Entire home/apt,890,0,1,0.0
8228,Southwest,Khlong San,100.50926,13.7188,Hotel room,1357,2,8,1.0986122886681098
8232,Southwest,Bangkok Yai,100.47114,13.73522,Entire home/apt,500,2,0,1.0986122886681098
8233,Southwest,Bangkok Yai,100.47143,13.73485,Entire home/apt,500,0,186,0.0
8237,Southwest,Thon buri,100.47903,13.71503,Private room,1700,0,0,0.0
8240,Southwest,Khlong San,100.50214,13.72772,Hotel room,1666,2,4,1.0986122886681098
8251,Southwest,Yan na wa,100.53133,13.69516,Private room,855,3,13,1.3862943611198906
8259,Southwest,Chom Thong,100.46675,13.66193,Shared room,1500,0,0,0.0
8262,Southwest,Bangkok Yai,100.47467,13.72753,Entire home/apt,799,0,0,0.0
8265,Southwest,Sathon,100.54753,13.72046,Entire home/apt,1500,5,32,1.791759469228055
8274,Southwest,Khlong San,100.50751,13.71829,Private room,3071,0,2,0.0
8275,Southwest,Bang Rak,100.53076,13.73007,Entire home/apt,1999,16,260,2.833213344056216
8276,Southwest,Khlong San,100.50193,13.71885,Entire home/apt,1500,1,235,0.6931471805599453
8282,Southwest,Khlong San,100.50102,13.72866,Private room,2500,0,3,0.0
8283,Southwest,Bang Rak,100.52148,13.72483,Entire home/apt,1571,66,340,4.204692619390966
8285,Southwest,Bang Rak,100.52932,13.7225,Entire home/apt,4500,1,365,0.6931471805599453
8291,Southwest,Bang Rak,100.52483,13.72318,Entire home/apt,2229,72,322,4.290459441148391
