,region,neighbourhood,longitude,latitude,room_type,price,number_of_reviews,booking_activity,log_reviews
0,Central,Ratchathewi,100.54134,13.75983,Entire home/apt,1905,65,12,4.189654742026425
14,Central,Khlong Toei,100.56806,13.71516,Entire home/apt,1400,0,0,0.0
16,Central,Khlong Toei,100.59936,13.70719,Entire home/apt,1577,78,35,4.3694478524670215
19,Central,Vadhana,100.56137,13.74668,Entire home/apt,5034,287,16,5.662960480135946
22,Central,Vadhana,100.57003,13.74444,Private room,3775,3,1,1.3862943611198906
23,Central,Khlong Toei,100.57823,13.72097,Entire home/apt,2078,83,310,4.430816798843313
24,Central,Khlong Toei,100.59968,13.70441,Entire home/apt,1732,3,1,1.3862943611198906
25,Central,Ratchathewi,100.53308,13.75351,Entire home/apt,2000,76,102,4.343805421853684
26,Central,Ratchathewi,100.53268,13.7547,Entire home/apt,3082,0,0,0.0
32,Central,Vadhana,100.55603,13.74293,Entire home/apt,1659,212,158,5.3612921657094255
37,Central,Vadhana,100.57803,13.73224,Entire home/apt,1870,5,34,1.791759469228055
39,Central,Vadhana,100.55784,13.74464,Entire home/apt,1732,0,0,0.0
40,Central,Vadhana,100.59637,13.7137,Entire home/apt,1300,7,0,2.0794415416798357
50,Central,Khlong Toei,100.55179,13.73782,Entire home/apt,1490,11,349,2.4849066497880004
61,Central,Parthum Wan,100.52016,13.74814,Entire home/apt,2900,295,365,5.69035945432406
62,Central,Khlong Toei,100.5683,13.71513,Private room,2226,0,1,0.0
65,Central,Khlong Toei,100.57318,13.7281,Entire home/apt,1732,67,198,4.219507705176107
69,Central,Ratchathewi,100.55652,13.74902,Entire home/apt,866,94,223,4.553876891600541
76,Central,Khlong Toei,100.55237,13.74052,Entire home/apt,797,189,135,5.247024072160486
82,Central,Vadhana,100.56495,13.73816,Entire home/apt,1400,32,245,3.4965075614664802
83,Central,Vadhana,100.60171,13.7104,Entire home/apt,2355,19,9,2.995732273553991
86,Central,Vadhana,100.57191,13.73675,Entire home/apt,3740,18,321,2.9444389791664403
107,Central,Vadhana,100.58039,13.72873,Entire home/apt,2000,6,303,1.9459101490553132
120,Central,Vadhana,100.55996,13.73757,Entire home/apt,1485,206,235,5.332718793265369
135,Central,Parthum Wan,100.54102,13.74088,Entire home/apt,3097,120,311,4.795790545596741
147,Central,Vadhana,100.57099,13.73332,Entire home/apt,2220,58,19,4.07753744390572
150,Central,Vadhana,100.58651,13.74283,Entire home/apt,1974,0,0,0.0
152,Central,Khlong Toei,100.57962,13.72242,Entire home/apt,1489,81,365,4.406719247264253
160,Central,Khlong Toei,100.58019,13.72062,Entire home/apt,1732,0,18,0.0
163,Central,Vadhana,100.56693,13.73668,Entire home/apt,4156,4,94,1.6094379124341003
165,Central,Khlong Toei,100.55488,13.73684,Entire home/apt,1500,0,0,0.0
173,Central,Khlong Toei,100.60152,13.70486,Entire home/apt,850,33,71,3.5263605246161616
177,Central,Khlong Toei,100.57647,13.72393,Entire home/apt,3300,26,352,3.295836866004329
201,Central,Khlong Toei,100.59326,13.71166,Entire home/apt,1143,31,276,3.4657359027997265
202,Central,Khlong Toei,100.59233,13.7142,Entire home/apt,866,0,0,0.0
203,Central,Ratchathewi,100.53301,13.74978,Entire home/apt,1009,113,308,4.736198448394496
209,Central,Parthum Wan,100.54792,13.74381,Entire home/apt,2250,92,295,4.532599493153256
217,Central,Ratchathewi,100.53552,13.75409,Entire home/apt,3587,0,95,0.0
218,Central,Khlong Toei,100.55934,13.73606,Entire home/apt,1845,129,29,4.867534450455582
220,Central,Vadhana,100.5865,13.73958,Entire home/apt,4720,252,18,5.53338948872752
221,Central,Vadhana,100.585,13.73862,Private room,1049,1,0,0.6931471805599453
222,Central,Parthum Wan,100.54235,13.74551,Entire home/apt,3500,1,365,0.6931471805599453
223,Central,Vadhana,100.58484,13.7214,Private room,1758,0,0,0.0
226,Central,Khlong Toei,100.56838,13.72468,Entire home/apt,3000,0,0,0.0
228,Central,Ratchathewi,100.52988,13.75156,Entire home/apt,1336,77,365,4.356708826689592
250,Central,Khlong Toei,100.57211,13.72635,Entire home/apt,2123,210,71,5.351858133476067
251,Central,Vadhana,100.60281,13.70714,Entire home/apt,2236,0,0,0.0
258,Central,Khlong Toei,100.55635,13.73833,Entire home/apt,1347,40,35,3.713572066704308
261,Central,Khlong Toei,100.55673,13.73892,Entire home/apt,1850,6,35,1.9459101490553132
262,Central,Vadhana,100.59918,13.70992,Shared room,712,1,10,0.6931471805599453
264,Central,Vadhana,100.58381,13.73767,Entire home/apt,1712,41,32,3.7376696182833684
277,Central,Vadhana,100.60112,13.70811,Shared room,400,4,0,1.6094379124341003
282,Central,Parthum Wan,100.5406,13.73982,Entire home/apt,1004,2,289,1.0986122886681098
301,Central,Khlong Toei,100.55957,13.72752,Entire home/apt,2000,65,188,4.189654742026425
318,Central,Khlong Toei,100.5804,13.71747,Hotel room,1300,1,0,0.6931471805599453
324,Central,Khlong Toei,100.56988,13.72699,Entire home/apt,2043,23,0,3.1780538303479458
325,Central,Khlong Toei,100.59998,13.70597,Private room,1050,1,7,0.6931471805599453
327,Central,Parthum Wan,100.53954,13.73954,Entire home/apt,1351,53,124,3.9889840465642745
330,Central,Vadhana,100.59001,13.71805,Entire home/apt,4429,0,0,0.0
336,Central,Vadhana,100.5564,13.74322,Entire home/apt,1212,61,353,4.127134385045092
338,Central,Vadhana,100.60072,13.708,Entire home/apt,1500,25,33,3.258096538021482
344,Central,Ratchathewi,100.53742,13.75285,Shared room,450,25,0,3.258096538021482
345,Central,Khlong Toei,100.5704,13.72582,Entire home/apt,990,27,25,3.332204510175204
352,Central,Parthum Wan,100.54409,13.74444,Entire home/apt,3436,19,36,2.995732273553991
356,Central,Vadhana,100.558998,13.746885,Entire home/apt,1380,238,276,5.476463551931511
357,Central,Vadhana,100.558998,13.746899,Entire home/apt,1150,218,276,5.389071729816501
359,Central,Vadhana,100.57353,13.73861,Entire home/apt,2000,34,170,3.5553480614894135
360,Central,Parthum Wan,100.54257,13.74373,Entire home/apt,3343,25,31,3.258096538021482
363,Central,Vadhana,100.57013,13.7427,Entire home/apt,1100,41,241,3.7376696182833684
364,Central,Vadhana,100.5633,13.74582,Entire home/apt,1850,159,0,5.075173815233827
365,Central,Vadhana,100.5954,13.73094,Private room,630,45,16,3.828641396489095
367,Central,Vadhana,100.59591,13.73053,Hotel room,859,35,16,3.58351893845611
368,Central,Vadhana,100.59549,13.73198,Private room,800,12,201,2.5649493574615367
369,Central,Khlong Toei,100.59164,13.70991,Entire home/apt,800,130,99,4.875197323201151
370,Central,Vadhana,100.58466,13.73537,Entire home/apt,3071,50,183,3.9318256327243257
372,Central,Khlong Toei,100.57832,13.72402,Entire home/apt,2036,20,26,3.044522437723423
377,Central,Vadhana,100.55718,13.74474,Private room,1250,1,186,0.6931471805599453
381,Central,Khlong Toei,100.57892,13.71762,Private room,5000,0,7,0.0
385,Central,Parthum Wan,100.543,13.74468,Private room,1586,15,3,2.772588722239781
388,Central,Vadhana,100.59577,13.73256,Hotel room,650,24,16,3.2188758248682006
389,Central,Ratchathewi,100.53277,13.75018,Entire home/apt,1150,73,52,4.30406509320417
392,Central,Khlong Toei,100.58523,13.71097,Private room,1000,0,3,0.0
395,Central,Khlong Toei,100.598396,13.706226,Entire home/apt,1436,37,155,3.6375861597263857
407,Central,Parthum Wan,100.5283,13.74763,Private room,2000,20,35,3.044522437723423
409,Central,Parthum Wan,100.53352,13.74124,Hotel room,4258,0,0,0.0
410,Central,Khlong Toei,100.59999,13.70408,Entire home/apt,2078,0,184,0.0
412,Central,Parthum Wan,100.54616,13.74699,Entire home/apt,3500,70,1,4.2626798770413155
419,Central,Vadhana,100.56407,13.73784,Entire home/apt,700,0,361,0.0
422,Central,Vadhana,100.58525,13.73826,Private room,2000,0,0,0.0
424,Central,Vadhana,100.56804,13.74521,Private room,1682,3,0,1.3862943611198906
425,Central,Vadhana,100.58774,13.72792,Private room,3500,0,0,0.0
426,Central,Vadhana,100.58755,13.72815,Private room,3500,0,0,0.0
440,Central,Vadhana,100.59043,13.73078,Entire home/apt,3000,0,0,0.0
448,Central,Vadhana,100.57397,13.73359,Entire home/apt,2220,33,19,3.5263605246161616
449,Central,Ratchathewi,100.5556,13.75059,Entire home/apt,1590,63,10,4.1588830833596715
454,Central,Khlong Toei,100.60015,13.70527,Entire home/apt,1108,44,142,3.8066624897703196
459,Central,Vadhana,100.55798,13.74011,Entire home/apt,2147,2,1,1.0986122886681098
461,Central,Khlong Toei,100.59778,13.70702,Entire home/apt,999,37,218,3.6375861597263857
463,Central,Vadhana,100.58628,13.74113,Private room,1000,0,365,0.0
472,Central,Vadhana,100.55807,13.73925,Entire home/apt,1385,22,3,3.1354942159291497
473,Central,Khlong Toei,100.57116,13.72228,Entire home/apt,1209,0,0,0.0
482,Central,Parthum Wan,100.54233,13.74674,Entire home/apt,4848,1,3,0.6931471805599453
483,Central,Ratchathewi,100.55641,13.75026,Entire home/apt,1629,73,166,4.30406509320417
485,Central,Khlong Toei,100.56259,13.73313,Private room,4871,7,1,2.0794415416798357
486,Central,Khlong Toei,100.56259,13.73313,Private room,4871,27,1,3.332204510175204
488,Central,Khlong Toei,100.55193,13.73701,Entire home/apt,990,63,9,4.1588830833596715
490,Central,Vadhana,100.56986,13.74393,Private room,1800,0,0,0.0
494,Central,Vadhana,100.558998,13.746896,Entire home/apt,1725,188,276,5.241747015059643
501,Central,Vadhana,100.57176,13.73444,Private room,1200,0,185,0.0
504,Central,Vadhana,100.58305,13.7322,Entire home/apt,1250,75,41,4.330733340286331
505,Central,Parthum Wan,100.52725,13.74696,Entire home/apt,1000,113,95,4.736198448394496
509,Central,Ratchathewi,100.53823,13.76289,Entire home/apt,1143,0,0,0.0
511,Central,Ratchathewi,100.53685,13.75202,Shared room,970,12,22,2.5649493574615367
512,Central,Ratchathewi,100.53677,13.75183,Shared room,381,105,43,4.663439094112067
514,Central,Parthum Wan,100.54344,13.73939,Entire home/apt,3271,89,17,4.499809670330265
515,Central,Ratchathewi,100.53687,13.75212,Shared room,450,10,0,2.3978952727983707
517,Central,Ratchathewi,100.53688,13.75193,Shared room,346,9,3,2.302585092994046
519,Central,Ratchathewi,100.53686,13.75195,Shared room,416,50,0,3.9318256327243257
534,Central,Parthum Wan,100.54015,13.73924,Entire home/apt,2995,153,292,5.0369526024136295
542,Central,Parthum Wan,100.54369,13.74371,Private room,1943,7,0,2.0794415416798357
543,Central,Vadhana,100.56985,13.74339,Private room,1943,2,180,1.0986122886681098
545,Central,Khlong Toei,100.59748,13.70837,Entire home/apt,650,40,49,3.713572066704308
555,Central,Khlong Toei,100.55255,13.73763,Entire home/apt,1500,66,111,4.204692619390966
556,Central,Khlong Toei,100.60011,13.7062,Entire home/apt,949,63,65,4.1588830833596715
563,Central,Parthum Wan,100.54311,13.74465,Private room,1986,2,3,1.0986122886681098
569,Central,Khlong Toei,100.59931,13.70824,Entire home/apt,806,106,94,4.672828834461906
570,Central,Ratchathewi,100.54342,13.7556,Entire home/apt,1657,31,1,3.4657359027997265
571,Central,Parthum Wan,100.54308,13.74459,Private room,1700,3,3,1.3862943611198906
576,Central,Khlong Toei,100.59791,13.70939,Entire home/apt,1529,171,234,5.147494476813453
578,Central,Khlong Toei,100.57242,13.72034,Shared room,510,3,365,1.3862943611198906
581,Central,Ratchathewi,100.56293,13.74859,Entire home/apt,1300,0,2,0.0
583,Central,Vadhana,100.57068,13.74387,Entire home/apt,2390,5,186,1.791759469228055
586,Central,Khlong Toei,100.59224,13.71418,Entire home/apt,990,27,92,3.332204510175204
587,Central,Parthum Wan,100.544,13.74374,Private room,1729,5,3,1.791759469228055
589,Central,Vadhana,100.60217,13.70617,Entire home/apt,1534,74,68,4.31748811353631
591,Central,Khlong Toei,100.58119,13.71659,Entire home/apt,950,27,64,3.332204510175204
602,Central,Khlong Toei,100.59274,13.70754,Entire home/apt,1650,27,192,3.332204510175204
612,Central,Ratchathewi,100.53207,13.75183,Shared room,450,14,0,2.70805020110221
613,Central,Ratchathewi,100.53677,13.75191,Shared room,416,41,0,3.7376696182833684
614,Central,Ratchathewi,100.53672,13.75199,Shared room,346,23,5,3.1780538303479458
620,Central,Ratchathewi,100.52698,13.75395,Entire home/apt,1500,32,11,3.4965075614664802
622,Central,Khlong Toei,100.59172,13.71286,Hotel room,2329,477,315,6.169610732491456
623,Central,Khlong Toei,100.59217,13.71136,Hotel room,2000,426,365,6.056784013228625
625,Central,Khlong Toei,100.5938,13.71174,Hotel room,2286,393,363,5.976350909297934
628,Central,Vadhana,100.60415,13.72103,Private room,600,3,45,1.3862943611198906
631,Central,Khlong Toei,100.57021,13.72056,Shared room,560,11,364,2.4849066497880004
637,Central,Vadhana,100.5571,13.74024,Entire home/apt,2000,0,0,0.0
652,Central,Khlong Toei,100.5712,13.72706,Entire home/apt,1106,0,48,0.0
653,Central,Khlong Toei,100.58614381891556,13.716157411567432,Private room,590,0,38,0.0
662,Central,Khlong Toei,100.56911,13.7288,Entire home/apt,4850,16,2,2.833213344056216
664,Central,Vadhana,100.58235,13.72643,Private room,1800,0,0,0.0
666,Central,Ratchathewi,100.53252,13.75977,Entire home/apt,1500,110,55,4.709530201312334
671,Central,Khlong Toei,100.59575,13.70578,Private room,866,1,1,0.6931471805599453
672,Central,Vadhana,100.56895,13.7341,Shared room,390,52,0,3.970291913552122
678,Central,Khlong Toei,100.59139,13.71506,Entire home/apt,1300,4,57,1.6094379124341003
679,Central,Vadhana,100.56692,13.73518,Shared room,565,33,0,3.5263605246161616
680,Central,Vadhana,100.56788,13.73351,Shared room,565,36,0,3.6109179126442243
681,Central,Vadhana,100.56858,13.73541,Shared room,390,7,0,2.0794415416798357
689,Central,Vadhana,100.55939,13.73906,Entire home/apt,1888,232,40,5.4510384535657
693,Central,Vadhana,100.60196,13.71,Entire home/apt,986,83,88,4.430816798843313
700,Central,Khlong Toei,100.59466,13.71161,Entire home/apt,820,13,253,2.6390573296152584
705,Central,Vadhana,100.57137,13.73731,Entire home/apt,1400,120,290,4.795790545596741
712,Central,Khlong Toei,100.57675,13.71793,Private room,1004,40,4,3.713572066704308
714,Central,Ratchathewi,100.54326,13.75341,Entire home/apt,1385,57,2,4.060443010546419
715,Central,Khlong Toei,100.5515,13.7417,Entire home/apt,1400,65,285,4.189654742026425
716,Central,Parthum Wan,100.54302,13.74824,Entire home/apt,1600,11,7,2.4849066497880004
717,Central,Vadhana,100.58109,13.72717,Entire home/apt,3990,3,188,1.3862943611198906
718,Central,Vadhana,100.56594,13.7431,Entire home/apt,2500,2,365,1.0986122886681098
719,Central,Khlong Toei,100.57189,13.72585,Entire home/apt,2400,172,49,5.153291594497779
731,Central,Vadhana,100.57943,13.72894,Private room,2000,0,0,0.0
735,Central,Vadhana,100.59281,13.71421,Entire home/apt,1200,27,82,3.332204510175204
736,Central,Khlong Toei,100.59163,13.71419,Entire home/apt,1311,14,75,2.70805020110221
738,Central,Vadhana,100.58101,13.73936,Entire home/apt,1500,0,186,0.0
742,Central,Khlong Toei,100.55957,13.73528,Entire home/apt,3347,0,0,0.0
745,Central,Ratchathewi,100.53343,13.7556,Entire home/apt,2007,22,7,3.1354942159291497
746,Central,Vadhana,100.5824,13.73127,Entire home/apt,1300,41,231,3.7376696182833684
755,Central,Vadhana,100.57961,13.72467,Entire home/apt,1662,113,43,4.736198448394496
756,Central,Khlong Toei,100.59246,13.71399,Entire home/apt,1700,6,365,1.9459101490553132
758,Central,Parthum Wan,100.52769,13.74793,Shared room,1750,44,189,3.8066624897703196
762,Central,Vadhana,100.58744,13.73086,Private room,1499,8,0,2.1972245773362196
763,Central,Parthum Wan,100.54967,13.73609,Entire home/apt,1212,24,59,3.2188758248682006
771,Central,Vadhana,100.56269,13.74232,Private room,2000,0,2,0.0
776,Central,Vadhana,100.55799,13.74008,Private room,1500,1,231,0.6931471805599453
793,Central,Khlong Toei,100.59802,13.71011,Entire home/apt,5400,34,0,3.5553480614894135
801,Central,Khlong Toei,100.5547,13.73695,Entire home/apt,1690,2,35,1.0986122886681098
813,Central,Vadhana,100.56241,13.74636,Entire home/apt,1662,166,365,5.117993812416755
817,Central,Parthum Wan,100.52068,13.75037,Entire home/apt,1350,54,2,4.007333185232471
820,Central,Vadhana,100.57251,13.73909,Entire home/apt,2459,121,231,4.804021044733257
823,Central,Khlong Toei,100.59998,13.70509,Entire home/apt,4000,0,1,0.0
841,Central,Vadhana,100.58278,13.73487,Entire home/apt,3000,1,275,0.6931471805599453
842,Central,Vadhana,100.58628,13.71968,Private room,1200,3,275,1.3862943611198906
847,Central,Khlong Toei,100.56252,13.73502,Entire home/apt,4056,323,223,5.780743515792329
848,Central,Khlong Toei,100.58532,13.71955,Private room,1200,1,275,0.6931471805599453
851,Central,Vadhana,100.56394,13.74506,Entire home/apt,2600,121,191,4.804021044733257
852,Central,Vadhana,100.56379,13.74658,Private room,2357,0,0,0.0
854,Central,Vadhana,100.58485,13.73567,Entire home/apt,2000,0,1,0.0
881,Central,Khlong Toei,100.59061,13.71498,Entire home/apt,850,9,264,2.302585092994046
882,Central,Vadhana,100.59082,13.71745,Entire home/apt,3000,0,0,0.0
886,Central,Vadhana,100.55515,13.74287,Entire home/apt,1369,223,82,5.4116460518550396
889,Central,Vadhana,100.58427,13.73833,Entire home/apt,999,0,7,0.0
896,Central,Parthum Wan,100.55056,13.73857,Entire home/apt,2340,100,19,4.61512051684126
900,Central,Vadhana,100.57731,13.72932,Entire home/apt,1211,196,217,5.2832037287379885
903,Central,Vadhana,100.5746,13.73761,Entire home/apt,1200,7,365,2.0794415416798357
904,Central,Ratchathewi,100.54328,13.75499,Entire home/apt,1400,28,40,3.367295829986474
905,Central,Khlong Toei,100.5939,13.71143,Hotel room,2329,486,318,6.18826412308259
906,Central,Khlong Toei,100.5703,13.72774,Entire home/apt,1197,43,40,3.784189633918261
913,Central,Vadhana,100.57346,13.73852,Entire home/apt,2300,147,298,4.997212273764115
915,Central,Khlong Toei,100.55336,13.73486,Entire home/apt,1886,44,35,3.8066624897703196
919,Central,Khlong Toei,100.57955,13.72123,Entire home/apt,1450,9,247,2.302585092994046
921,Central,Vadhana,100.57519,13.72875,Entire home/apt,3463,0,0,0.0
927,Central,Ratchathewi,100.5555,13.75086,Entire home/apt,3490,81,185,4.406719247264253
939,Central,Khlong Toei,100.56875,13.72851,Entire home/apt,5017,49,7,3.912023005428146
940,Central,Khlong Toei,100.57212,13.72601,Entire home/apt,4286,1,1,0.6931471805599453
941,Central,Vadhana,100.59013,13.72763,Private room,800,0,275,0.0
943,Central,Vadhana,100.58788,13.732,Private room,2628,0,0,0.0
970,Central,Khlong Toei,100.58864,13.71438,Entire home/apt,1200,25,37,3.258096538021482
978,Central,Vadhana,100.585,13.73636,Entire home/apt,2474,0,0,0.0
989,Central,Vadhana,100.58494,13.73451,Entire home/apt,1390,86,39,4.465908118654584
996,Central,Vadhana,100.58522,13.73375,Entire home/apt,2643,6,0,1.9459101490553132
1000,Central,Vadhana,100.58158,13.73005,Private room,900,8,9,2.1972245773362196
1006,Central,Vadhana,100.5732,13.73865,Entire home/apt,2900,111,292,4.718498871295094
1007,Central,Vadhana,100.5784,13.7324,Entire home/apt,990,1,0,0.6931471805599453
1012,Central,Khlong Toei,100.57909,13.72319,Private room,1899,0,0,0.0
1015,Central,Vadhana,100.58846,13.73121,Entire home/apt,3000,0,0,0.0
1017,Central,Vadhana,100.5816,13.73015,Private room,1000,6,9,1.9459101490553132
1018,Central,Vadhana,100.58161,13.73015,Private room,570,58,9,4.07753744390572
1020,Central,Vadhana,100.60177,13.71221,Private room,950,0,192,0.0
1027,Central,Vadhana,100.57397,13.74497,Entire home/apt,2127,0,365,0.0
1030,Central,Vadhana,100.55761,13.74126,Private room,5000,0,0,0.0
1032,Central,Vadhana,100.56463,13.7401,Entire home/apt,1059,54,96,4.007333185232471
1033,Central,Vadhana,100.5764,13.73153,Entire home/apt,866,26,249,3.295836866004329
1040,Central,Ratchathewi,100.56204,13.75491,Entire home/apt,675,0,365,0.0
1048,Central,Khlong Toei,100.59263,13.70252,Entire home/apt,1200,0,10,0.0
1049,Central,Khlong Toei,100.56774,13.72612,Entire home/apt,5000,1,19,0.6931471805599453
1052,Central,Khlong Toei,100.59282,13.70443,Entire home/apt,1200,1,3,0.6931471805599453
1055,Central,Ratchathewi,100.551,13.74968,Entire home/apt,3800,0,0,0.0
1058,Central,Ratchathewi,100.5315,13.75062,Entire home/apt,1643,270,300,5.602118820879701
1063,Central,Khlong Toei,100.58612,13.71614,Entire home/apt,1483,9,311,2.302585092994046
1064,Central,Khlong Toei,100.55157,13.73715,Entire home/apt,1163,31,314,3.4657359027997265
1070,Central,Vadhana,100.57192,13.74228,Entire home/apt,1900,111,249,4.718498871295094
1073,Central,Khlong Toei,100.57525,13.72483,Entire home/apt,1457,200,314,5.303304908059076
1074,Central,Parthum Wan,100.54165,13.74308,Entire home/apt,3407,13,26,2.6390573296152584
1077,Central,Vadhana,100.59396,13.71526,Entire home/apt,1250,383,54,5.950642552587727
1078,Central,Khlong Toei,100.59503,13.71197,Entire home/apt,1100,206,38,5.332718793265369
1082,Central,Khlong Toei,100.57465,13.72683,Entire home/apt,1400,124,11,4.8283137373023015
1087,Central,Khlong Toei,100.55583,13.73873,Entire home/apt,1200,9,278,2.302585092994046
1089,Central,Vadhana,100.55841,13.73978,Entire home/apt,1500,15,91,2.772588722239781
1091,Central,Vadhana,100.58545,13.74085,Private room,1500,0,0,0.0
1095,Central,Vadhana,100.58151,13.73033,Entire home/apt,1524,2,18,1.0986122886681098
1097,Central,Khlong Toei,100.57418,13.72572,Entire home/apt,1697,154,28,5.043425116919247
1100,Central,Parthum Wan,100.52683,13.74823,Entire home/apt,1212,57,365,4.060443010546419
1103,Central,Vadhana,100.57308,13.74332,Private room,2000,0,0,0.0
1106,Central,Vadhana,100.58391,13.72375,Entire home/apt,2251,7,5,2.0794415416798357
1107,Central,Vadhana,100.56129,13.7404,Entire home/apt,4120,75,290,4.330733340286331
1108,Central,Khlong Toei,100.57417,13.72609,Entire home/apt,2000,0,1,0.0
1109,Central,Vadhana,100.58529,13.73633,Entire home/apt,2800,15,7,2.772588722239781
1110,Central,Vadhana,100.55795,13.7413,Entire home/apt,1600,46,294,3.8501476017100584
1111,Central,Parthum Wan,100.54941,13.73877,Entire home/apt,2000,97,365,4.584967478670572
1114,Central,Vadhana,100.58133,13.73136,Entire home/apt,1143,107,204,4.68213122712422
1115,Central,Khlong Toei,100.59553,13.71061,Entire home/apt,1553,24,65,3.2188758248682006
1128,Central,Parthum Wan,100.55106,13.73674,Entire home/apt,1693,1,60,0.6931471805599453
1130,Central,Vadhana,100.57292,13.72941,Entire home/apt,3200,9,276,2.302585092994046
1133,Central,Vadhana,100.58826,13.74236,Entire home/apt,1500,0,188,0.0
1137,Central,Vadhana,100.55735,13.74803,Entire home/apt,2088,130,241,4.875197323201151
1138,Central,Khlong Toei,100.59173,13.71415,Entire home/apt,1530,10,187,2.3978952727983707
1140,Central,Vadhana,100.56626,13.73631,Entire home/apt,3067,52,39,3.970291913552122
1142,Central,Ratchathewi,100.53801,13.75286,Private room,1499,0,0,0.0
1146,Central,Khlong Toei,100.59415,13.7124,Entire home/apt,866,0,0,0.0
1148,Central,Vadhana,100.59378,13.73139,Entire home/apt,1800,0,0,0.0
1151,Central,Vadhana,100.58966,13.71788,Entire home/apt,1385,22,137,3.1354942159291497
1152,Central,Parthum Wan,100.55012,13.74297,Entire home/apt,1243,129,93,4.867534450455582
1162,Central,Khlong Toei,100.56259,13.73313,Private room,4871,20,1,3.044522437723423
1172,Central,Ratchathewi,100.53327,13.75808,Entire home/apt,2500,26,0,3.295836866004329
1174,Central,Vadhana,100.58629,13.73188,Entire home/apt,1301,184,82,5.220355825078324
1176,Central,Khlong Toei,100.59267,13.70474,Entire home/apt,1100,6,0,1.9459101490553132
1178,Central,Vadhana,100.591774,13.71718,Entire home/apt,1000,0,34,0.0
1179,Central,Ratchathewi,100.53944,13.75625,Shared room,350,0,184,0.0
1185,Central,Vadhana,100.60055,13.71045,Entire home/apt,1064,36,233,3.6109179126442243
1187,Central,Vadhana,100.58608,13.72988,Entire home/apt,950,66,42,4.204692619390966
1189,Central,Vadhana,100.55453,13.74169,Entire home/apt,2000,0,3,0.0
1191,Central,Parthum Wan,100.52354,13.7478,Entire home/apt,5071,162,268,5.093750200806762
1195,Central,Ratchathewi,100.52761,13.75228,Private room,770,6,361,1.9459101490553132
1201,Central,Vadhana,100.59628,13.73225,Hotel room,2386,7,0,2.0794415416798357
1202,Central,Ratchathewi,100.55412,13.74931,Entire home/apt,1208,53,119,3.9889840465642745
1203,Central,Vadhana,100.56731,13.74456,Entire home/apt,1700,6,0,1.9459101490553132
1211,Central,Vadhana,100.58676,13.73005,Private room,1643,0,185,0.0
1216,Central,Vadhana,100.56928,13.7387,Private room,5000,1,0,0.6931471805599453
1217,Central,Khlong Toei,100.57215,13.72844,Hotel room,1000,0,0,0.0
1218,Central,Khlong Toei,100.58606,13.71608,Entire home/apt,1200,25,79,3.258096538021482
1244,Central,Khlong Toei,100.5929,13.7124,Entire home/apt,600,0,0,0.0
1245,Central,Parthum Wan,100.52811,13.74874,Entire home/apt,1212,49,338,3.912023005428146
1249,Central,Vadhana,100.57293,13.74273,Entire home/apt,3800,12,215,2.5649493574615367
1251,Central,Khlong Toei,100.56428,13.73407,Entire home/apt,2500,6,279,1.9459101490553132
1252,Central,Vadhana,100.5807,13.72354,Entire home/apt,4000,103,51,4.6443908991413725
1257,Central,Parthum Wan,100.52023,13.75063,Hotel room,1879,10,4,2.3978952727983707
1261,Central,Parthum Wan,100.52023,13.75063,Hotel room,1310,179,5,5.19295685089021
1262,Central,Parthum Wan,100.52023,13.75063,Hotel room,1291,21,5,3.091042453358316
1269,Central,Khlong Toei,100.57646,13.72489,Entire home/apt,2351,28,184,3.367295829986474
1271,Central,Vadhana,100.59995,13.71301,Entire home/apt,850,33,39,3.5263605246161616
1282,Central,Ratchathewi,100.52928,13.75328,Private room,930,6,0,1.9459101490553132
1287,Central,Ratchathewi,100.54662,13.75072,Hotel room,5229,1,365,0.6931471805599453
1288,Central,Ratchathewi,100.53382,13.75597,Entire home/apt,3000,3,0,1.3862943611198906
1289,Central,Vadhana,100.58964,13.71739,Entire home/apt,750,0,1,0.0
1293,Central,Vadhana,100.55743,13.7478,Entire home/apt,1200,345,234,5.846438775057725
1304,Central,Khlong Toei,100.56031,13.73499,Private room,2450,3,364,1.3862943611198906
1305,Central,Khlong Toei,100.55996,13.73369,Private room,3450,0,364,0.0
1308,Central,Khlong Toei,100.58426,13.71319,Entire home/apt,850,77,9,4.356708826689592
1312,Central,Khlong Toei,100.58455,13.71588,Entire home/apt,2108,0,0,0.0
1316,Central,Parthum Wan,100.54346,13.74471,Entire home/apt,2078,1,2,0.6931471805599453
1323,Central,Khlong Toei,100.56451,13.73216,Private room,1400,10,0,2.3978952727983707
1332,Central,Vadhana,100.57513,13.73757,Shared room,1500,0,7,0.0
1338,Central,Vadhana,100.56465,13.73574,Entire home/apt,1043,30,123,3.4339872044851463
1342,Central,Vadhana,100.56811,13.7333,Shared room,390,7,0,2.0794415416798357
1343,Central,Khlong Toei,100.56033,13.72635,Entire home/apt,795,108,305,4.6913478822291435
1344,Central,Ratchathewi,100.53226,13.75445,Private room,2314,23,15,3.1780538303479458
1346,Central,Vadhana,100.57409,13.73133,Entire home/apt,1500,72,44,4.290459441148391
1351,Central,Parthum Wan,100.52239,13.73759,Entire home/apt,1350,2,0,1.0986122886681098
1358,Central,Khlong Toei,100.57782,13.72394,Entire home/apt,2043,3,0,1.3862943611198906
1362,Central,Vadhana,100.59381,13.71424,Private room,1385,1,276,0.6931471805599453
